voterId,name,age,gender,phone,email,address,state,pincode,aadhaarId,registrationDate
INDVOTER100100,Lila Sachdeva,37,Other,9987746901,lilasachdeva01@yahoo.com,"79, Krishna Marg, Guwahati-245886",Uttar Pradesh,322148,572751279454,2022-06-27
INDVOTER100917,Kashish Bail,27,Female,9585627669,kashishbail182@gmail.com,"099, Baria Nagar, Vijayawada 846006",Haryana,833545,009119158582,2023-09-19
INDVOTER100968,Qushi Iyer,67,Female,9403008747,qushiiyer2231@yahoo.com,"H.No. 74, Mishra Ganj, Alappuzha-432517",Meghalaya,512347,089077163388,2023-02-12
INDVOTER100916,Jason Mutti,78,Female,9906398406,jasonmutti3739@gmail.com,"H.No. 01, Virk Circle, Jehanabad 470863",Karnataka,003462,759448608708,2022-02-23
INDVOTER100047,Lekha Gill,60,Other,9037070852,lekhagill426@outlook.com,"07/858, Iyengar Circle, Uluberia 241519",Assam,729446,865684917064,2019-08-04
INDVOTER100636,Tarak Bahl,32,Female,9349458284,tarakbahl5798@outlook.com,"11/76, Behl Street, Bharatpur 466289",Meghalaya,384967,795794385989,2018-12-19
INDVOTER100852,Onkar Shroff,46,Female,9418400163,onkarshroff6848@yahoo.com,"H.No. 72, Kumer, Aurangabad-163425",Arunachal Pradesh,635131,845053317482,2023-09-21
INDVOTER100369,Bhavna Khalsa,45,Other,9475681785,bhavnakhalsa75@outlook.com,"234, Sidhu Chowk, Madurai-509019",Jharkhand,645981,975843723589,2017-02-05
INDVOTER100850,Tanish Purohit,80,Other,9468242393,tanishpurohit8688@outlook.com,"42/010, Goda Nagar, Davanagere-001788",Odisha,351247,121640505171,2021-10-30
INDVOTER100247,Gagan Sankaran,19,Other,9489358510,gagansankaran920@outlook.com,"H.No. 404, Sur Marg, Nanded 084581",Jharkhand,039309,295930518848,2019-04-25
INDVOTER100541,Om Iyengar,55,Other,9504125184,omiyengar10718@outlook.com,"752, Kala Path, Ulhasnagar 362574",Meghalaya,241007,148624606651,2023-11-13
INDVOTER100910,Avni Mannan,27,Female,9410040276,avnimannan11227@gmail.com,"99/753, Kade Ganj, Raiganj 773394",Gujarat,501084,496225071592,2017-01-24
INDVOTER100184,Dominic Kar,84,Male,9316939171,dominickar1262@gmail.com,"75/818, Mangat, Muzaffarpur 217284",Meghalaya,859746,342300906773,2016-04-28
INDVOTER100429,Girik Nadig,54,Male,9177650290,giriknadig13413@yahoo.com,"69, Amble, Morbi 233941",Odisha,499112,195815448040,2015-09-21
INDVOTER100949,Daksh Kar,80,Female,9848583626,dakshkar1430@gmail.com,"H.No. 43, Saini Circle, Nadiad 166289",Karnataka,763893,118856506218,2022-11-24
INDVOTER100019,Luke Natarajan,33,Other,9360907408,lukenatarajan15858@outlook.com,"H.No. 12, More Street, Maheshtala-977372",Bihar,793172,532212313187,2017-01-12
INDVOTER100880,Ekaraj Parsa,85,Male,9977132100,ekarajparsa16679@gmail.com,"99/588, Chopra Zila, Ongole 436459",Tripura,771097,728293218889,2018-02-24
INDVOTER100615,Yash Gour,77,Other,9781263684,yashgour1781@outlook.com,"72/490, Trivedi Zila, Bhubaneswar 276922",Andhra Pradesh,718976,860257777138,2016-03-26
INDVOTER100671,Ojas Misra,24,Other,9168977838,ojasmisra18577@outlook.com,"H.No. 11, Warrior Road, Patna 959502",Maharashtra,092888,003840135993,2015-12-09
INDVOTER100958,Baghyawati Hegde,19,Other,9935713839,baghyawatihegde19652@outlook.com,"H.No. 64, Sant Circle, Kalyan-Dombivli-595784",Telangana,768080,239589099411,2017-11-29
INDVOTER100838,Jagdish Dyal,83,Male,9794538745,jagdishdyal20472@gmail.com,"H.No. 166, Chana Circle, Jamalpur 538731",West Bengal,637971,305824117933,2020-07-21
